School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Carthage,28.77,24.67,53.45,1,3,1
Jackson,27.2,25.37,52.58,3,1,2
Ft. Zumwalt North,27.83,22.28,50.12,2,6,3
Chaminade College Prep,23.06,20.74,43.81,5,7,4
Staley,14.2,24.69,38.89,11,2,5
Eureka,14.02,24.51,38.53,12,4,6
Raytown,15.62,16.22,31.84,9,8,7
Nixa,5.99,23.89,29.88,20,5,8
Battle,22.49,3.67,26.16,6,23,9
Park Hill South,18.9,6.96,25.86,7,17,10
North Kansas City,16.46,5.98,22.44,8,20,11
Waynesville,11.83,9.49,21.32,13,11,12
Webster Groves,11.73,9.52,21.25,14,10,13
Republic,23.65,-3.24,20.41,4,26,14
Glendale,15.03,4.59,19.63,10,22,15
Fox,9.66,8.09,17.74,16,14,16
McCluer North,8.34,8.56,16.9,18,12,17
Ozark,11.16,5.56,16.72,15,21,18
Branson,2.36,12.08,14.44,23,9,19
Fort Osage,5.97,8.13,14.11,21,13,20
Vianney,6.5,6.45,12.95,19,19,21
Mehlville,3.49,7.39,10.88,22,15,22
Oak Park,-1.08,7.2,6.12,26,16,23
Poplar Bluff,8.7,-4.62,4.08,17,28,24
Parkway West,1.65,1.89,3.54,24,24,25
William Chrisman,-7.91,6.5,-1.41,32,18,26
Seckman,-3.63,-0.71,-4.34,30,25,27
Truman,-2.41,-3.73,-6.14,28,27,28
Francis Howell North,-0.47,-9.01,-9.48,25,31,29
Central (St. Joseph),-6.16,-9.77,-15.93,31,32,30
Ritenour,-1.77,-14.3,-16.07,27,35,31
Smith-Cotton,-3.13,-13.78,-16.92,29,34,32
Oakville,-10.89,-7.16,-18.05,34,29,33
Parkway South,-8.41,-11.32,-19.73,33,33,34
Parkview,-11.37,-8.94,-20.31,35,30,35
Central (Springfield),-18.06,-31.67,-49.74,36,36,36
