School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Odessa,32.27,16.63,48.9,1,7,1
Blair Oaks,18.67,19.4,38.07,2,4,2
Cassville,14.24,19.49,33.74,5,3,3
Monett,16.0,17.24,33.24,4,6,4
Kennett,12.96,19.66,32.63,7,2,5
Trinity Catholic,7.89,23.54,31.44,13,1,6
Savannah,16.06,13.12,29.18,3,9,7
Mt. Vernon,6.42,19.16,25.58,16,5,8
Lutheran St. Charles,12.76,10.67,23.43,8,10,9
Seneca,10.11,9.47,19.59,10,13,10
Center,9.36,9.64,19.0,11,12,11
St. Clair,2.43,15.1,17.54,23,8,12
Buffalo,8.53,4.82,13.35,12,20,13
St. Francis Borgia,6.74,6.58,13.32,14,15,14
Reeds Spring,3.52,9.29,12.82,21,14,15
Springfield Catholic,6.66,5.0,11.66,15,18,16
Boonville,6.19,4.56,10.75,18,21,17
Oak Grove,5.15,5.38,10.52,20,17,18
Roosevelt,13.9,-3.91,9.99,6,41,19
St. Charles West,10.93,-1.23,9.7,9,32,20
Southern Boone,6.41,2.5,8.91,17,24,21
Sullivan,-3.92,10.63,6.71,36,11,22
Priory,5.25,1.38,6.63,19,26,23
Chillicothe,1.84,3.31,5.16,24,22,24
Hollister,-0.91,5.39,4.48,28,16,25
Central (Park Hills),-1.06,4.98,3.92,29,19,26
Ste. Genevieve,2.61,0.38,2.99,22,30,27
Logan-Rogersville,1.56,0.84,2.4,25,29,28
Mexico,-1.19,1.15,-0.05,30,28,29
John Burroughs,-3.47,2.8,-0.67,33,23,30
Potosi,-3.85,1.19,-2.66,35,27,31
Pleasant Hill,-0.72,-2.31,-3.02,27,34,32
Moberly,-6.28,1.55,-4.73,41,25,33
Jennings,-4.61,-2.26,-6.87,38,33,34
Aurora,-4.04,-3.04,-7.08,37,38,35
Salem,-4.98,-2.47,-7.45,40,35,36
Perryville,-8.47,-0.97,-9.44,43,31,37
Cameron,0.4,-11.71,-11.31,26,49,38
Pembroke Hill,-9.42,-2.87,-12.29,46,37,39
Fredericktown,-4.65,-7.98,-12.63,39,43,40
Benton,-3.85,-8.81,-12.65,34,44,41
Owensville,-3.23,-11.44,-14.67,32,48,42
Osage,-13.0,-2.79,-15.79,49,36,43
Miller Career Academy,-7.94,-10.37,-18.31,42,46,44
Nevada,-8.69,-9.78,-18.47,45,45,45
Wright City,-16.81,-3.34,-20.15,54,39,46
Eldon,-2.99,-17.76,-20.75,31,54,47
University City,-19.89,-3.58,-23.48,57,40,48
Orchard Farm,-12.13,-14.27,-26.4,47,51,49
Lutheran South,-12.95,-13.76,-26.71,48,50,50
Fulton,-8.64,-18.43,-27.07,44,55,51
St. Michael the Archangel,-17.35,-10.94,-28.29,55,47,52
Dexter,-21.25,-7.4,-28.65,58,42,53
Winfield,-14.96,-15.55,-30.51,51,52,54
Normandy Collaborative,-13.89,-17.34,-31.23,50,53,55
Clinton,-16.11,-21.73,-37.84,53,58,56
Central (Kansas City),-15.49,-23.17,-38.66,52,59,57
St. James,-24.06,-20.73,-44.79,59,57,58
Southeast,-19.28,-27.62,-46.9,56,61,59
Doniphan,-26.78,-20.37,-47.15,62,56,60
Bayless,-26.04,-29.24,-55.28,60,62,61
Northeast (Kansas City),-26.35,-29.35,-55.7,61,63,62
Confluence Prep Academy Charter,-36.89,-25.49,-62.38,63,60,63
