School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Cardinal Ritter,31.72,27.52,59.24,1,1,1
Lutheran North,28.5,26.2,54.69,2,2,2
Maryville,22.43,20.22,42.65,4,3,3
Lathrop,22.94,17.87,40.82,3,4,4
Lamar,11.47,13.06,24.53,9,5,5
Ava,13.05,10.37,23.42,6,10,6
Summit Christian Academy,10.27,10.11,20.38,10,11,7
Hallsville,5.6,11.14,16.74,16,9,8
Fair Grove,9.71,5.47,15.18,11,13,9
Clark County,3.13,12.02,15.15,18,6,10
Scott City,11.85,1.98,13.83,7,16,11
Caruthersville,11.55,0.64,12.19,8,21,12
Lawson,2.59,8.97,11.56,19,12,13
Richmond,8.51,1.63,10.15,13,17,14
Lafayette County,-2.38,11.46,9.08,27,7,15
Centralia,-3.15,11.4,8.25,30,8,16
Liberty (Mountain View),9.51,-2.56,6.95,12,27,17
Knob Noster,2.29,0.98,3.28,20,20,18
Father Tolton,15.98,-12.89,3.09,5,48,19
Lift for Life Academy Charter,-3.0,5.02,2.02,29,14,20
Palmyra,-2.42,4.34,1.92,28,15,21
Lexington,1.52,0.02,1.54,23,23,22
Veritas Christian Academy,1.82,-1.05,0.77,22,26,23
Central (New Madrid County),6.8,-7.58,-0.78,14,36,24
East Newton,-3.71,1.42,-2.29,32,19,25
Willow Springs,-5.0,1.47,-3.53,34,18,26
Duchesne,-4.16,0.23,-3.93,33,22,27
Hermann,-0.94,-4.53,-5.47,24,32,28
Monroe City,3.37,-10.32,-6.95,17,45,29
Macon,1.87,-11.1,-9.23,21,47,30
Versailles,5.67,-14.92,-9.25,15,50,31
St. Pius X (Festus),-9.2,-0.13,-9.33,41,24,32
Strafford,-6.67,-2.77,-9.44,37,28,33
Warsaw,-1.86,-8.24,-10.09,26,39,34
Montgomery County,-1.82,-8.29,-10.11,25,40,35
Houston,-7.35,-3.01,-10.35,39,29,36
Hogan Prep Academy Charter,-5.32,-6.23,-11.55,36,33,37
North Callaway,-3.53,-8.81,-12.34,31,41,38
Holden,-5.22,-7.82,-13.04,35,38,39
Brookfield,-12.7,-3.31,-16.01,47,30,40
Bowling Green,-12.38,-3.63,-16.01,46,31,41
El Dorado Springs,-8.98,-7.44,-16.42,40,35,42
Mountain Grove,-17.2,-0.39,-17.59,54,25,43
East Prairie,-6.93,-10.8,-17.73,38,46,44
Kelly,-10.96,-7.67,-18.63,45,37,45
Jefferson (Festus),-10.39,-9.08,-19.47,43,42,46
Trenton,-9.39,-10.18,-19.57,42,44,47
California,-10.52,-9.19,-19.7,44,43,48
St. Pius X (Kansas City),-13.57,-6.74,-20.3,49,34,49
Clopton with Elsberry,-12.73,-14.61,-27.34,48,49,50
Highland,-15.51,-17.0,-32.52,51,54,51
Cuba,-17.16,-15.82,-32.98,53,52,52
Principia,-22.43,-14.94,-37.37,55,51,53
Butler,-16.28,-21.97,-38.25,52,57,54
Herculaneum,-23.78,-16.03,-39.81,56,53,55
University Academy Charter,-15.09,-28.99,-44.08,50,61,56
Grandview (Hillsboro),-24.71,-19.85,-44.56,57,56,57
Forsyth,-25.36,-19.73,-45.1,58,55,58
Van-Far with Community,-26.53,-26.18,-52.71,60,59,59
Lone Jack with Kingsville,-28.1,-26.74,-54.84,61,60,60
Carnahan,-29.21,-25.94,-55.15,62,58,61
Missouri Military Academy,-26.14,-31.31,-57.45,59,62,62
